image,caption
445655284_c29e6d7323.jpg,A black and brown dog walks through the snow near a building .
2960759328_2d31e4af9b.jpg,Two men on horses are trying to lasso a bull .
2768021570_46bc6325e3.jpg,A cowboy stands near two sheep and a dog at a rodeo .
1236964638_1808784a3c.jpg,"Child flips off pool diving board , man and another tumbling child at poolside ."
2557507575_b247f145bc.jpg,A brown dog is running through tall green grass .
2384626662_67cdd87694.jpg,Two children are running towards the ocean on a beach .
195084264_72fb347b0f.jpg,The man wearing glasses is showing a wooden product .
2667015110_1670324a33.jpg,A young boy is holding a book .
3333017828_b930b9d41b.jpg,A white dog running along side a river
888425986_e4b6c12324.jpg,a person in midair doing a back flip .
2341254813_c53a5ef27a.jpg,A child jumps in the air at a bowling alley .
3584603849_6cfd9af7dd.jpg,"A blue , red , and yellow plane does a loop in the air ."
3220009216_10f088185e.jpg,Two children hanging on a large branch .
2647062476_5ef31ba867.jpg,Six women standing in a field awaiting their turn at a port-a-potty .
1053804096_ad278b25f1.jpg,A girl in pigtails splashes in the shallow water .
1317292658_ba29330a0b.jpg,A boy is squinting while being sprayed with water from a flat ground surface .
421322723_3470543368.jpg,A man wearing a green shirt looks down at a cellphone .
3594029059_cee1f4c59a.jpg,An eagle flies through the air .
2089539651_9e518ec7de.jpg,A person holding poles is standing on a rock ledge with bushes on each side overlooking mountains .
2409597310_958f5d8aff.jpg,A boy and a baby in a ridable truck .
3329858093_0ec73f2190.jpg,a woman holding a young baby inside the window of a train
3273969811_42e9fa8f63.jpg,a large white bird takes flighht out of the water .
1052358063_eae6744153.jpg,A child is performing a skateboard trick while another child with a skateboard leans on a wall .
248174959_2522871152.jpg,A woman in red is sitting on the edge of a steep rock .
3406802138_ef77bbddd0.jpg,Two dogs running in the dirt
3399944164_ec24123945.jpg,A woman lays down with a camera and a man leans back on her taking the picture .
2457052334_b5a1d99048.jpg,A man climbing the face of a rock .
3341084434_db5e7d1fdc.jpg,The skier is sliding on his side as he attempts the slalom
3472364264_dbde5a8d0a.jpg,The dog ran across the beach .
2657301826_aab4c36e6c.jpg,A toddler with a blue scarf wrapped on his head plays with a wooden toy .
2661489896_cc3425777e.jpg,A child in white shorts and a blue shirt is standing in the street .
566794036_60f7acdf35.jpg,Man in red shorts bouncing a basketball .
1459250022_bf1eddad11.jpg,An orchestra performs .
3640241166_b1ab7a8e7a.jpg,A young woman is standing on the grass with a video camcorder in her hand
3346289227_198fced308.jpg,A man slides a skateboard down a stair ramp .
2853811730_fbb8ab0878.jpg,A man wearing sunglasses stands in front of band equipment holding a guitar .
387078972_514a38dc33.jpg,A white dog is walking by a building in the snow .
300594071_3450444752.jpg,A person is sitting in front of three blue and white port-o-potties with a mop propped against them .
3122938209_2b2c6c1fab.jpg,Man on green bicycle performing a trick on one wheel .
3174156702_95a1cda2d9.jpg,Two boys playing and splashing around in muddy water .
1675679141_36c9bc2969.jpg,A man fishing from the shore in the wintertime .
972381743_5677b420ab.jpg,a woman with a shaved head dressed in black and white in a parade
501684722_0f20c4e704.jpg,Three girls pose for a picture and one of the girls kisses the others cheek .
3419238351_ac18b440c0.jpg,Some people are standing around watching a baby taking a bath .
1387443857_602ab6f9bf.jpg,An old man with a blue shirt is looking askance with people behind him .
3564907603_14ccc655f1.jpg,Highschoolers smile for the camera at a dance .
1566117559_f5d98fbeb0.jpg,A little white dog begs .
2393196444_8f4f540f5f.jpg,Some teenagers smile from an outdoor table .
